Daily Gross Short Sales reported for 29-May-2018, ASX Limited (ASX) & Chi-X Australia (CHI-X)

No responsibility is accepted for any inaccuracies contained in the matter published.
Securities that have had no short sales actively reported for the date shown are excluded from this report.

ASX     Company Name                      Product/      Reported Gross         Issued              % of issued capital
Code                                      Class         Short Sales (a)        Capital (b)         reported as short
                                                        ASX + CHI-X                                sold  (a)/(b)
4DS     4DS MEMORY LIMITED                FPO                  410,000         962,564,544         .04
A2M     THE A2 MILK COMPANY LIMITED       FPO NZ               728,338         730,039,067         .10
AAA     BETASHARES AUSTRALIAN HIGH INTERE ETF UNITS            155,795          23,690,222         .65
AAC     AUSTRALIAN AGRICULTURAL COMPANY L FPO                  529,043         602,766,747         .08
AAD     ARDENT LEISURE GROUP              STAPLED              748,687         471,344,533         .15
ABC     ADELAIDE BRIGHTON LIMITED         FPO                  507,882         650,610,606         .07
ABP     ABACUS PROPERTY GROUP             STAPLED              508,871         579,362,537         .08
ACR     ACRUX LIMITED                     FPO                    2,500         166,521,711         .00
ADA     ADACEL TECHNOLOGIES LIMITED       FPO                    2,019          78,458,807         .00
ADH     ADAIRS LIMITED                    FPO                      163         165,874,785         .00
ADO     ANTEO DIAGNOSTICS LIMITED         FPO                  435,357       1,152,756,577         .03
ADV     ARDIDEN LTD                       FPO                   50,000       1,472,687,910         .00
AFG     AUSTRALIAN FINANCE GROUP LTD      FPO                   30,231         214,812,671         .01
AGI     AINSWORTH GAME TECHNOLOGY LIMITED FPO                   88,729         332,512,925         .02
AGL     AGL ENERGY LIMITED.               FPO                  148,244         655,825,043         .02
AGY     ARGOSY MINERALS LIMITED           FPO                      162         918,496,575         .00
AHG     AUTOMOTIVE HOLDINGS GROUP LIMITED FPO                  433,756         331,623,014         .13
AHY     ASALEO CARE LIMITED               FPO                  230,030         543,122,491         .04
AHZ     ADMEDUS LTD                       FPO                       89         272,462,201         .00
AIA     AUCKLAND INTERNATIONAL AIRPORT LI FPO NZX                4,685       1,202,572,583         .00
AJD     ASIA PACIFIC DATA CENTRE GROUP    STAPLED                6,461         115,000,100         .00
AJM     ALTURA MINING LIMITED             FPO                   65,699       1,819,866,474         .00
ALK     ALKANE RESOURCES LIMITED          FPO                    2,451         506,096,222         .00
ALL     ARISTOCRAT LEISURE LIMITED        FPO                  223,537         638,544,150         .03
ALQ     ALS LIMITED                       FPO                1,316,174         490,445,771         .26
ALU     ALTIUM LIMITED                    FPO                  201,091         130,284,942         .15
ALX     ATLAS ARTERIA                     STAPLED              499,683         669,788,565         .07
AMA     AMA GROUP LIMITED                 FPO                    5,323         527,440,147         .00
AMC     AMCOR LIMITED                     FPO                  640,185       1,158,141,276         .05
AMD     ARROW MINERALS LTD                FPO                   14,694         306,976,322         .00
AMI     AURELIA METALS LIMITED            FPO                   66,870         855,879,333         .00
AML     AEON METALS LIMITED.              FPO                   15,700         585,969,727         .00
AMP     AMP LIMITED                       FPO                1,530,593       2,918,469,137         .05
ANN     ANSELL LIMITED                    FPO                  119,917         142,343,291         .08
ANW     AUS TIN MINING LTD                FPO                    2,068       1,963,170,746         .00
ANZ     AUSTRALIA AND NEW ZEALAND BANKING FPO                1,092,672       2,894,309,399         .03
AOA     AUSMON RESOURCES LIMITED          FPO                  347,929         493,682,199         .07
AOF     AUSTRALIAN UNITY OFFICE FUND      FPO                    3,277         162,831,952         .00
AOG     AVEO GROUP                        STAPLED              461,142         580,837,672         .07
APA     APA GROUP                         STAPLED              608,828       1,179,893,848         .05
APE     AP EAGERS LIMITED                 FPO                      381         191,309,301         .00
API     AUSTRALIAN PHARMACEUTICAL INDUSTR FPO                  355,959         492,428,532         .07
APO     APN OUTDOOR GROUP LIMITED         FPO                  496,403         167,005,841         .29
APT     AFTERPAY TOUCH GROUP LIMITED      FPO                  187,762         217,776,619         .08
APX     APPEN LIMITED                     FPO                    2,743         106,324,947         .00
APZ     ASPEN GROUP                       STAPLED                3,546          98,613,105         .00
AQG     ALACER GOLD CORP.                 CDI 1:1               47,473          95,522,099         .05
ARB     ARB CORPORATION LIMITED.          FPO                   46,964          79,343,950         .05
ARF     ARENA REIT.                       STAPLED                  924         269,350,972         .00
ARL     ARDEA RESOURCES LIMITED           FPO                    1,849          94,408,921         .00
ARV     ARTEMIS RESOURCES LIMITED         FPO                   56,982         634,693,770         .00
ASB     AUSTAL LIMITED                    FPO                   93,780         350,857,529         .02
ASL     AUSDRILL LIMITED                  FPO                  289,988         362,154,452         .08
AST     AUSNET SERVICES LIMITED           FPO                1,194,213       3,614,346,765         .03
ASX     ASX LIMITED                       FPO                  105,900         193,595,162         .05
ATS     AUSTRALIS OIL & GAS LIMITED       FPO                   43,585         831,898,272         .00
AUB     AUB GROUP LIMITED                 FPO                      907          63,846,476         .00
AUZ     AUSTRALIAN MINES LIMITED          FPO                   20,000       2,677,803,672         .00
AVB     AVANCO RESOURCES LIMITED          FPO                    1,818       2,457,806,443         .00
AVG     AUSTRALIAN VINTAGE LTD            FPO                    7,187         277,838,771         .00
AVN     AVENTUS RETAIL PROPERTY FUND      UNIT                  13,932         493,661,051         .00
AVZ     AVZ MINERALS LIMITED              FPO                   92,948       1,868,431,449         .00
AWC     ALUMINA LIMITED                   FPO                2,003,582       2,879,843,498         .07
AX1     ACCENT GROUP LIMITED              FPO                  141,645         542,291,224         .02
AXE     ARCHER EXPLORATION LIMITED        FPO                  105,000         182,814,506         .05
AYS     AMAYSIM AUSTRALIA LIMITED         FPO                   68,453         210,792,810         .03
AZJ     AURIZON HOLDINGS LIMITED          FPO                  720,377       1,990,128,332         .03
BAL     BELLAMY'S AUSTRALIA LIMITED       FPO                  300,169         113,316,104         .26
BAP     BAPCOR LIMITED                    FPO                  550,375         280,244,752         .19
BBX     BBX MINERALS LIMITED              FPO                    9,129         396,617,369         .00
BDR     BEADELL RESOURCES LIMITED         FPO                  591,167       1,307,271,067         .04
BEN     BENDIGO AND ADELAIDE BANK LIMITED FPO                  689,543         484,751,070         .14
BGA     BEGA CHEESE LIMITED               FPO                   92,279         185,054,790         .05
BHP     BHP BILLITON LIMITED              FPO                1,503,120       3,211,691,105         .04
BID     BIDENERGY LIMITED                 FPO                    1,170         603,279,099         .00
BIN     BINGO INDUSTRIES LIMITED          FPO                  847,683         414,883,467         .20
BKL     BLACKMORES LIMITED                FPO                   22,438          17,226,619         .13
BKP     BARAKA ENERGY & RESOURCES LIMITED FPO                1,002,000       2,645,146,598         .03
BKW     BRICKWORKS LIMITED                FPO                   17,424         149,408,331         .01
BLA     BLUE SKY ALTERNATIVE INVESTMENTS  FPO                   43,733          77,527,973         .05
BLD     BORAL LIMITED.                    FPO                  528,618       1,172,331,924         .04
BLK     BLACKHAM RESOURCES LIMITED        FPO                  210,124       1,265,518,664         .01
BNKS    BETASHARES GLOBAL BANKS ETF - CUR ETF UNITS              1,000          10,404,020         .01
BOE     BOSS RESOURCES LIMITED            FPO                   59,769       1,574,403,008         .00
BOQ     BANK OF QUEENSLAND LIMITED.       FPO                  565,167         397,311,850         .14
BOT     BOTANIX PHARMACEUTICALS LTD       FPO                      206         525,448,470         .00
BPT     BEACH ENERGY LIMITED              FPO                1,752,274       2,276,570,218         .07
BRG     BREVILLE GROUP LIMITED            FPO                   50,007         130,095,322         .03
BRK     BROOKSIDE ENERGY LIMITED          FPO                  295,000         987,500,000         .03
BRL     BATHURST RESOURCES LIMITED.       FPO                       73       1,513,164,577         .00
BRU     BURU ENERGY LIMITED               FPO                   24,464         432,021,333         .00
BSA     BSA LIMITED                       FPO                    2,333         422,997,668         .00
BSE     BASE RESOURCES LIMITED            FPO                    3,062       1,127,575,014         .00
BSL     BLUESCOPE STEEL LIMITED           FPO                  276,638         550,185,939         .05
BSM     BASS METALS LTD                   FPO                    8,061       2,357,494,548         .00
BSX     BLACKSTONE MINERALS LIMITED       FPO                   65,540          74,904,766         .08
BTH     BIGTINCAN HOLDINGS LIMITED        FPO                    1,000         135,067,941         .00
BVS     BRAVURA SOLUTIONS LIMITED.        FPO                   15,675         214,246,090         .00
BWP     BWP TRUST                         ORD UNITS            492,310         642,383,803         .07
BWX     BWX LIMITED                       FPO                  219,813         122,731,270         .17
BXB     BRAMBLES LIMITED                  FPO                  322,426       1,591,861,797         .02
CAA     CAPRAL LIMITED                    FPO                      153         480,289,334         .00
CAB     CABCHARGE AUSTRALIA LIMITED       FPO                    9,253         120,430,683         .00
CAJ     CAPITOL HEALTH LIMITED            FPO                  114,941         805,964,199         .01
CAN     CANN GROUP LIMITED                FPO                    1,400         106,826,630         .00
CAR     CARSALES.COM LIMITED.             FPO                  206,826         242,969,920         .08
CAT     CATAPULT GROUP INTERNATIONAL LTD  FPO                    5,505         190,895,116         .00
CBA     COMMONWEALTH BANK OF AUSTRALIA.   FPO                  339,579       1,759,842,930         .01
CCL     COCA-COLA AMATIL LIMITED          FPO                  554,246         723,999,699         .07
CCP     CREDIT CORP GROUP LIMITED         FPO                   29,863          47,709,025         .06
CDA     CODAN LIMITED                     FPO                    2,238         178,119,949         .00
CDD     CARDNO LIMITED                    FPO                    7,589         479,589,929         .00
CDP     CARINDALE PROPERTY TRUST          UNIT                   7,311          70,000,000         .01
CDV     CARDINAL RESOURCES LIMITED        FPO                   13,614         373,174,049         .00
CGC     COSTA GROUP HOLDINGS LIMITED      FPO                  212,505         319,698,581         .06
CGF     CHALLENGER LIMITED                FPO                  673,938         610,855,731         .11
CGL     THE CITADEL GROUP LIMITED         FPO                       68          49,095,392         .00
CHC     CHARTER HALL GROUP                FORUS                287,896         465,777,131         .06
CIM     CIMIC GROUP LIMITED               FPO                   51,869         324,254,097         .01
CIP     CENTURIA INDUSTRIAL REIT          ORD UNIT              24,819         248,357,166         .01
CKF     COLLINS FOODS LIMITED             FPO                    1,973         116,467,637         .00
CL1     CLASS LIMITED                     FPO                    7,823         117,662,056         .00
CLA     CELSIUS RESOURCES LIMITED.        FPO                   57,800         687,483,893         .00
CLH     COLLECTION HOUSE LIMITED          FPO                  245,594         137,152,058         .17
CLQ     CLEAN TEQ HOLDINGS LIMITED        FPO                1,287,166         742,389,875         .17
CLV     CLOVER CORPORATION LIMITED        FPO                    8,008         165,181,696         .00
CLW     CHARTER HALL LONG WALE REIT       STAPLED               38,350         232,300,142         .01
CMA     CENTURIA METROPOLITAN REIT        ORD UNIT                 200         242,792,166         .00
CMW     CROMWELL PROPERTY GROUP           STAPLED            1,505,723       1,985,324,674         .07
CNJ     CONICO LTD                        FPO                1,200,000         323,493,387         .37
CNU     CHORUS LIMITED                    FPO NZX               46,587         429,641,197         .01
CNW     CIRRUS NETWORKS HOLDINGS LIMITED  FPO                   69,812         795,187,885         .00
COB     COBALT BLUE HOLDINGS LIMITED      FPO                   15,118          95,343,855         .01
COE     COOPER ENERGY LIMITED             FPO                  239,804       1,601,078,757         .01
