BODY NAME,BODY,SERVICE AREA CATEGORISATION,EXPENSE TYPE,EXPENSE CODE,INVOICE DATE,TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Current Liabilities,Payments,930,26/3/2018,77105,14000,Melton Mowbray BID Company Limited,10563
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Economic Development,Basic Pay,575,12/3/2018,77373,800,McCore Management Ltd,20824
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Christmas Lighting,Electricity,140,1/3/2018,18501,3037.72,E.ON,10414
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Phoenix House,Electricity,472,1/3/2018,18502,472.4,EDF Energy 1 Limited,10416
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Me and My Learning,Electricity,630,1/3/2018,18502,472.39,EDF Energy 1 Limited,10416
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Fixed Assets,Works - Contractors,900,2/3/2018,18481,865.4,T & M Property Maintenance,10793
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Contract Work,430,2/3/2018,18480,432.6,T & M Property Maintenance,10793
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Fixed Assets,Works - Contractors,900,5/3/2018,18479,3867,T & M Property Maintenance,10793
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Fixed Assets,Works - Contractors,900,5/3/2018,18510,84900.83,T & M Property Maintenance,10793
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Environmental Maintenance,Petrol - Purchases,507,15/3/2018,18505,485.24,Fuel Card Services Ltd,14878
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Communities & Neighbourhoods,Wages-Agency Staff,876,7/3/2018,77066,999,Resourcing Group,21185
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Professional Fees-(Excl.Employees),430,7/3/2018,76614,1107.5,Eden Brown Ltd,14045
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Communities & Neighbourhoods,Professional Fees-(Excl.Employees),876,7/3/2018,76614,1107.5,Eden Brown Ltd,14045
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Communities & Neighbourhoods,Professional Fees-(Excl.Employees),876,14/3/2018,76614,1107.5,Eden Brown Ltd,14045
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Professional Fees-(Excl.Employees),430,14/3/2018,76614,1107.5,Eden Brown Ltd,14045
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Professional Fees-(Excl.Employees),430,14/3/2018,77433,832.5,Eden Brown Ltd,14045
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Professional Fees-(Excl.Employees),430,21/3/2018,77433,832.5,Eden Brown Ltd,14045
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Professional Fees-(Excl.Employees),430,21/3/2018,76614,1107.5,Eden Brown Ltd,14045
